QR Code Name,QR Code Description,Redirection URL
Partido 74,Cargar los puntos del partido 74,https://torneo.sejama.com.ar/partido/74/editar
Partido 75,Cargar los puntos del partido 75,https://torneo.sejama.com.ar/partido/75/editar
Partido 76,Cargar los puntos del partido 76,https://torneo.sejama.com.ar/partido/76/editar
Partido 77,Cargar los puntos del partido 77,https://torneo.sejama.com.ar/partido/77/editar
Partido 78,Cargar los puntos del partido 78,https://torneo.sejama.com.ar/partido/78/editar
Partido 79,Cargar los puntos del partido 79,https://torneo.sejama.com.ar/partido/79/editar
Partido 80,Cargar los puntos del partido 80,https://torneo.sejama.com.ar/partido/80/editar
Partido 81,Cargar los puntos del partido 81,https://torneo.sejama.com.ar/partido/81/editar
Partido 82,Cargar los puntos del partido 82,https://torneo.sejama.com.ar/partido/82/editar
Partido 83,Cargar los puntos del partido 83,https://torneo.sejama.com.ar/partido/83/editar
Partido 84,Cargar los puntos del partido 84,https://torneo.sejama.com.ar/partido/84/editar
Partido 85,Cargar los puntos del partido 85,https://torneo.sejama.com.ar/partido/85/editar
Partido 86,Cargar los puntos del partido 86,https://torneo.sejama.com.ar/partido/86/editar
Partido 87,Cargar los puntos del partido 87,https://torneo.sejama.com.ar/partido/87/editar
Partido 88,Cargar los puntos del partido 88,https://torneo.sejama.com.ar/partido/88/editar
Partido 89,Cargar los puntos del partido 89,https://torneo.sejama.com.ar/partido/89/editar
Partido 90,Cargar los puntos del partido 90,https://torneo.sejama.com.ar/partido/90/editar
Partido 91,Cargar los puntos del partido 91,https://torneo.sejama.com.ar/partido/91/editar
Partido 92,Cargar los puntos del partido 92,https://torneo.sejama.com.ar/partido/92/editar
Partido 93,Cargar los puntos del partido 93,https://torneo.sejama.com.ar/partido/93/editar
Partido 94,Cargar los puntos del partido 94,https://torneo.sejama.com.ar/partido/94/editar
Partido 95,Cargar los puntos del partido 95,https://torneo.sejama.com.ar/partido/95/editar
Partido 96,Cargar los puntos del partido 96,https://torneo.sejama.com.ar/partido/96/editar
Partido 97,Cargar los puntos del partido 97,https://torneo.sejama.com.ar/partido/97/editar
Partido 98,Cargar los puntos del partido 98,https://torneo.sejama.com.ar/partido/98/editar
Partido 99,Cargar los puntos del partido 99,https://torneo.sejama.com.ar/partido/99/editar
Partido 100,Cargar los puntos del partido 100,https://torneo.sejama.com.ar/partido/100/editar
