QR ID,QR Title,QR Description,Permalink,Type,Redirection,PNG Image,SVG Image
2962620,Partido 121,Cargar los puntos del partido 121,http://uqr.to/1rhz0,url,https://torneo.sejama.com.ar/partido/121/editar,https://app.qrcodekit.com/qrs/2962620.png,https://app.qrcodekit.com/qrs/2962620.svg
2962619,Partido 120,Cargar los puntos del partido 120,http://uqr.to/1rhyz,url,https://torneo.sejama.com.ar/partido/120/editar,https://app.qrcodekit.com/qrs/2962619.png,https://app.qrcodekit.com/qrs/2962619.svg
2962618,Partido 119,Cargar los puntos del partido 119,http://uqr.to/1rhyy,url,https://torneo.sejama.com.ar/partido/119/editar,https://app.qrcodekit.com/qrs/2962618.png,https://app.qrcodekit.com/qrs/2962618.svg
2962617,Partido 118,Cargar los puntos del partido 118,http://uqr.to/1rhyx,url,https://torneo.sejama.com.ar/partido/118/editar,https://app.qrcodekit.com/qrs/2962617.png,https://app.qrcodekit.com/qrs/2962617.svg
2962616,Partido 117,Cargar los puntos del partido 117,http://uqr.to/1rhyw,url,https://torneo.sejama.com.ar/partido/117/editar,https://app.qrcodekit.com/qrs/2962616.png,https://app.qrcodekit.com/qrs/2962616.svg
2962615,Partido 116,Cargar los puntos del partido 116,http://uqr.to/1rhyv,url,https://torneo.sejama.com.ar/partido/116/editar,https://app.qrcodekit.com/qrs/2962615.png,https://app.qrcodekit.com/qrs/2962615.svg
2962614,Partido 115,Cargar los puntos del partido 115,http://uqr.to/1rhyu,url,https://torneo.sejama.com.ar/partido/115/editar,https://app.qrcodekit.com/qrs/2962614.png,https://app.qrcodekit.com/qrs/2962614.svg
2962613,Partido 114,Cargar los puntos del partido 114,http://uqr.to/1rhyt,url,https://torneo.sejama.com.ar/partido/114/editar,https://app.qrcodekit.com/qrs/2962613.png,https://app.qrcodekit.com/qrs/2962613.svg
2962612,Partido 113,Cargar los puntos del partido 113,http://uqr.to/1rhys,url,https://torneo.sejama.com.ar/partido/113/editar,https://app.qrcodekit.com/qrs/2962612.png,https://app.qrcodekit.com/qrs/2962612.svg
2962611,Partido 112,Cargar los puntos del partido 112,http://uqr.to/1rhyr,url,https://torneo.sejama.com.ar/partido/112/editar,https://app.qrcodekit.com/qrs/2962611.png,https://app.qrcodekit.com/qrs/2962611.svg
